idpozo,sigla,formprod,coordenadax,coordenaday
522,YPF.Nq.CN.x-2,MULI,-70.050334211886,-38.809687365527
523,YPF.Nq.CN.x-3,QTUC,-70.049586938737,-38.812167060203
525,YPF.Nq.OA.x-1,LAJA,-69.889886764498,-38.749997384145
526,YPF.Nq.OA.x-2,AGRI,-69.803900467935,-38.776191283158
527,YPF.Nq.OA.x-3,FIMP,-69.814274639373,-38.784196477896
528,YPF.Nq.SD.x-1,VMUT,-69.797636522165,-38.836927516305
529,AEC.Nq.CAz.x-1,FIMP,-69.938607626249,-38.751475705619
530,YPF.Fr.EChi.x-1(bis),PLAR,-62.202953,-23.248716
531,AEC.Nq.CVO.x-1,BNEG,-69.744903285535,-38.795405895596
532,YPF.Fr.EChi.e-2,YACO,-62.220147,-23.252694
533,YPF.Fr.EChi-4,PLAR,-62.207309,-23.249852
534,YPF.St.Ip.x-1,TUPA,-63.533538,-22.030549
536,YPF.LP.EM-904,QTUC,-67.806526,-38.034488
537,YPF.St.Ip-2,TUPA,-63.515895,-22.012582
538,YPF.St.Ip.x-3,TUPA,-63.523083,-22.013017
539,YPF.St.Ip.e-4,TUPA,-63.529107,-22.012186
541,PCR.LP.EM-2056,QTUC,-67.728225,-37.991323
542,PCR.LP.EM-2042,QTUC,-67.731994,-37.988484
543,PCR.LP.EM-2036,QTUC,-67.732874,-37.992098
544,PCR.LP.EM-2073,QTUC,-67.73582,-37.992039
545,PCR.LP.EM.x-2013,QTUC,-67.736314,-37.989597
546,PCR.LP.EM-2072,CHYO,-67.739088,-37.989823
547,PCR.LP.EM-2041,QTUC,-67.740462,-37.987991
549,PCR.LP.EM-2043,QTUC,-67.735382,-37.986096
550,PCR.LP.EM-2047,QTUC,-67.731245,-37.985265
552,PCR.LP.EM-2044,QTUC,-67.743654,-37.985423
553,PCR.LP.EM.x-2014,QTUC,-67.752852,-37.970484
554,YPF.LP.EM.a-343,QTUC,-67.756146,-38.005024
555,PCR.LP.EM-2088,QTUC,-67.767865,-38.003216
556,PCR.LP.EM-2082,QTUC,-67.773508,-38.001117
557,PCR.LP.EM-2083,QTUC,-67.76968,-38.0057
558,PCR.LP.EM-2084,QTUC,-67.765471,-38.000642
559,PCR.LP.EM-2086,QTUC,-67.76145,-38.000996
560,PCR.LP.EM-2081,QTUC,-67.754621,-37.99887
561,PCR.LP.EM-2068,QTUC,-67.75866,-37.99872
562,YPF.Fr.Sbi.x-1(I),YACO,-62.08168,-23.219175
563,PCR.LP.EM-2079,QTUC,-67.76299,-37.9982
564,BHP.St.VMo.x-1001,YACO,-64.665315,-23.436507
565,PCR.LP.EM-2078,QTUC,-67.76737,-37.99793
566,PCR.LP.EM-2089,QTUC,-67.77178,-37.99786
567,PCR.LP.EM-2070,CHYO,-67.77599,-37.998
568,PCR.LP.EM-2087,QTUC,-67.78066,-37.99904
570,PCR.LP.EM-2023,QTUC,-67.78193,-38.00441
571,PCR.LP.EM-2032,QTUC,-67.78735,-38.0024
572,PCR.LP.EM-2069,CHYO,-67.79639,-38.00524
573,PCR.LP.EM-2067,QTUC,-67.73892,-37.99883
574,PCR.LP.EM-2011,QTUC,-67.73996,-38.00678
575,PCR.LP.EM-2009,QTUC,-67.74738,-38.00928
576,YPF.LP.EM.a-918,QTUC,-67.73785,-38.01309
577,PCR.LP.EM-2017,QTUC,-67.79066,-38.01541
578,PCR.LP.EM-2008,QTUC,-67.79814,-38.01747
579,PCR.LP.EM-2031,QTUC,-67.77245,-38.01486
580,PCR.LP.EM-2018,QTUC,-67.77833,-38.01726
581,YPF.LP.EM.a-342,QTUC,-67.78466,-38.01982
582,PCR.LP.EM-2010,QTUC,-67.79244,-38.02184
583,PCR.LP.EM-2022,QTUC,-67.80023,-38.02333
584,YPF.LP.EM.a-919,QTUC,-67.77161,-38.02015
585,PCR.LP.EM-2012,QTUC,-67.7782,-38.02342
586,PCR.LP.EM-2029,QTUC,-67.7864,-38.02621
587,YPF.LP.EM.a-376,QTUC,-67.73878,-38.03175
588,PCR.LP.EM-2003,QTUC,-67.76612,-38.02588
589,PCR.LP.EM-2030,QTUC,-67.77245,-38.02681
590,YPF.LP.EM.a-902,QTUC,-67.7915,-38.03306
591,YPF.LP.EM.a-901,QTUC,-67.80896,-38.02927
592,YPF.LP.EM-903,QTUC,-67.80895,-38.03217
593,YPF.LP.EM-912,QTUC,-67.80497,-38.03194
595,YPF.LP.EM.a-900,QTUC,-67.80889,-38.03649
596,CHE.Md.CHx-1,FIMP,-69.00735,-33.344875
597,CHE.Md.CHx-2,FIMP,-69.003933,-33.369403
599,CHE.Md.CHx-5(ia),FIMP,-68.990378,-33.386181
600,YPF.LP.EM-905,QTUC,-67.8049,-38.03833
601,YPF.LP.EM-917,QTUC,-67.79275,-38.04118
602,PCR.LP.EM-2005,QTUC,-67.79086,-38.03856
603,CHE.Md.CHa-8,BARR,-68.997739,-33.399072
604,YPF.LP.EM.a-908,QTUC,-67.78865,-38.04216
605,YPF.LP.EM-916,QTUC,-67.78686,-38.03948
606,YPF.LP.EM-911,QTUC,-67.78485,-38.04309
607,CHE.Md.CHa-13,BARR,-68.996822,-33.372875
608,PCR.LP.EM-2019,QTUC,-67.78115,-38.04414
609,CHE.Md.CH-22,FIMP,-69.001125,-33.375181
610,CHE.Md.CH-30,BARR,-68.987433,-33.326806
611,CHE.Md.CHOx-1,FIMP,-69.016933,-33.365903
685,YPF.SCA.DM. x-1,SPRI,-68.99674355,-51.84109616
686,YPF.SCA.DM. x-3,SPRI,-68.98346583,-51.79649945
687,YPF.SCA.DM. x-4,SPRI,-68.96238805,-51.85915297
688,YPF.SCA.DM. e-5,SPRI,-68.9625197,-51.8701643
689,YPF.SCA.DM. e-7,SPRI,-68.92865135,-51.83876575
690,YPF.SCA.DM. a-8,SPRI,-68.95451906,-51.85429116
691,YPF.SCA.DM. a-9,SPRI,-68.9624558,-51.86372515
692,YPF.SCA.DM. 10,SPRI,-68.9678715,-51.87476022
693,YPF.SCA.DM. a-11,TOBI,-68.96995799,-51.86264466
694,YPF.SCA.DM. e-12,SPRI,-68.94980391,-51.8786526
695,YPF.SCA.DM. a-13,SPRI,-68.93039483,-51.86539697
696,YPF.SCA.DM. 14,SPRI,-68.96168499,-51.85464252
697,YPF.SCA.DM. 15,SPRI,-68.95342643,-51.87584324
698,YPF.SCA.DM. 16,SPRI,-68.94532694,-51.87506835
699,YPF.SCA.DM. 17,SPRI,-68.94635222,-51.87152333
700,YPF.SCA.DM. 18,SPRI,-68.95773732,-51.87224248
701,YPF.SCA.DM. 19,SPRI,-68.96331159,-51.85119244
702,YPF.SCA.DM. 20,SPRI,-68.94005409,-51.877324
703,YPF.SCA.DM. 21,SPRI,-68.9518288,-51.84709859
704,YPF.SCA.DM. 22,TOBI,-68.96880705,-51.85333828
705,YPF.SCA.DM. 23,SPRI,-68.95787246,-51.85207832
706,YPF.SCA.DM. 24,SPRI,-68.93170541,-51.87231815
707,YPF.SCA.DM. 25,TOBI,-68.96810299,-51.84924883
708,YPF.SCA.DM. 27,SPRI,-68.96214904,-51.8568439
709,YPF.SCA.DM. 29,SPRI,-68.94970122,-51.85342396
710,YPF.SCA.DM. 30,SPRI,-68.97187577,-51.85513989
711,YPF.SCA.DM. 31,TOBI,-68.99066853,-51.84436031
712,YPF.SCA.DM. 32,SPRI,-68.95795961,-51.87722552
713,OGA.SCA.DMa-33,TOBI,-68.98160516,-51.8807219
714,YPF.SCA.CF. x-1,SPRI,-68.96615354,-51.90483475
715,YPF.SCA.CNo. x-1,SPRI,-68.87078,-52.129
716,YPF.SCA.CNo. x-2,SPRI,-68.88263,-52.10667
717,YPF.SCA.CNo. x-3,SPRI,-68.93495,-52.10515
718,YPF.SCA.DL. x-1,SPRI,-68.64243,-52.11246
719,YPF.SCA.DL. x-3,SPRI,-68.536358,-52.18390946
720,YPF.SCA.DL. x-4,SPRI,-68.52764309,-52.16043828
721,YPF.SCA.LDM. x-2,SPRI,-68.77836,-51.9723
722,YPF.SCA.LDMS. x-1,SPRI,-68.73655,-52.00572
723,OGA.SCA.LV. x-1,TOBI,-69.01135966,-51.81789964
724,YPF.SCA.SG. x-1,SPRI,-68.68096,-52.17113
725,YPF.SCA.ZP. x-1,SPRI,-68.87409,-52.04847
726,OGA.SCA.DMN. x-1,TOBI,-68.98090984,-51.80801224
727,OGA.SCA.DMN. a-2,TOBI,-68.97727672,-51.81036725
728,OGA.SCA.DMN. a-3,TOBI,-68.97704232,-51.80540351
729,YPF.Md.Nq.LCOx-1,LAMA,-69.76130556,-35.79227778
730,YPF.Md.Nq.PMox-1,AGRI,-69.76547222,-35.75172222
731,YPF.Md.Nq.ABMx-1,FIMP,-69.78547222,-35.70283333
732,YPF.Md.Nq.CDJx-1,AGRI,-69.77177732,-35.81845745
733,YPF.Md.Nq.CDJx-2,AGRI,-69.78117952,-35.82004236
734,YPF.Md.Nq.CDJx-3,LAMA,-69.76651427,-35.81645884
735,YPF.Md.Nq.AChx-1,LAMA,-69.80053292,-35.81914807
736,YPF.Md.Nq.CLPx-1,AGRI,-69.76053599,-35.84164117
737,CHE.Md.CH-1016,BARR,-68.971628,-33.350853
738,CHE.Md.CH-1020(ia),BARR,-68.979767,-33.349014
739,CHE.Md.CH-1025,BARR,-68.981822,-33.324875
740,CHE.Md.PPCx-1,FIMP,-69.043322,-33.359708
741,CHE.Md.PPCx-3,FIMP,-69.059131,-33.353986
742,CHE.Md.PPCx-4,FIMP,-69.051975,-33.367642
743,PCR.LP.EM-2002,QTUC,-67.77901,-38.03835
744,CHE.Md.PPCx-5,FIMP,-69.060214,-33.363931
769,CHE.Md.PPCNx-1,FIMP,-69.063242,-33.333681
770,CHE.Md.PPCSx-1,FIMP,-69.038628,-33.377125
795,CHE.Md.TOx-1,FIMP,-69.084339,-33.309292
796,CHE.Md.TOx-2,FIMP,-69.084269,-33.327208
797,CHE.Md.TOx-3,FIMP,-69.103308,-33.299153
1404,CHE.Md.CHEx-1,FIMP,-68.947347,-33.359458
1786,CHE.Md.CHSx-1,FIMP,-69.001439,-33.404017
2751,CHE.Md.PPCx-1001,FIMP,-68.963486,-33.268761
2752,CHE.Md.PPCx-1004,BARR,-68.963569,-33.359347
2753,YPF.St.Ñac.x-1001,LAPE,-63.690588,-22.296799
2754,YPF.St.Ñac.a-1002,LAPE,-63.69533,-22.304768
2755,CGC.St.Ñac.x-1003,LAPE,-63.69382,-22.293347
2758,PCR.LP.EM-2001,QTUC,-67.77861,-38.04176
2761,PCR.LP.EM-2007,QTUC,-67.77583,-38.04425
2763,PCR.LP.EM-2006,QTUC,-67.77268,-38.04184
2766,YPF.LP.EM.a-346,QTUC,-67.77124,-38.03797
2767,YPF.LP.EM-914,QTUC,-67.76718,-38.03788
2768,YPF.LP.EM-907,QTUC,-67.7751,-38.03589
2769,YPF.LP.EM-906,QTUC,-67.76925,-38.03429
2770,YPF.LP.EM-910,QTUC,-67.76529,-38.03515
2771,YPF.SCA.LLC-16,SPRI,-69.604182,-50.756767
2772,PCR.LP.EM-2020,QTUC,-67.76843,-38.0408
2773,YPF.SCA.LLC-29,SPRI,-69.612188,-50.763225
2774,PCR.LP.EM-2038,QTUC,-67.76912,-38.04401
2775,YPF.SCA.LLC-35I,SPRI,-69.608309,-50.764665
2776,YPF.SCA.LLC-36,SPRI,-69.61392,-50.751484
2777,YPF.SCA.LLC-40,SPRI,-69.619897,-50.749142
2778,YPF.SCA.LLC-41,SPRI,-69.605919,-50.751904
2779,PCR.LP.EM-2037,QTUC,-67.77216,-38.04611
2780,PCR.LP.EM-2039,QTUC,-67.7646,-38.04285
